A,0.93718743,0.738556,0.7990363,0.74787605,0.82386506,1.0,0.0,0.0,0.0,0.0,0.9327232,0.24689445,0.21053404,0.24620825,-0.9460745
A,0.9620435,0.14084633,0.18942857,0.21039389,0.28047293,1.0,0.0,0.0,0.0,0.0,0.5150718,0.11547097,0.041263416,-0.02863087,-0.998738
A,0.9599329,0.10878536,0.09163525,0.0687986,0.1159988,1.0,0.0,0.0,0.0,0.0,0.537094,0.12062113,0.11229295,-0.043176617,-0.99273664
A,0.9715153,0.118288144,0.09932318,0.059683,0.08866554,1.0,0.0,0.0,0.0,0.0,0.5161067,0.12438593,0.21409294,-0.016817754,-0.9766685
A,0.9545133,0.12614974,0.110341586,0.06569926,0.067040555,1.0,0.0,0.0,0.0,0.0,0.5561872,0.12762254,0.16771911,-0.015168617,-0.98571813
A,0.9607654,0.1288107,0.10727521,0.06818075,0.057061642,1.0,0.0,0.0,0.0,0.0,0.5782155,0.13300793,0.15078151,-0.011812398,-0.98849654
A,0.9393247,0.123883046,0.10320265,0.06298734,0.059220146,1.0,0.0,0.0,0.0,0.0,0.53055483,0.12953487,0.18361355,0.0030752649,-0.9829936
A,0.9467207,0.115979366,0.09867918,0.06422588,0.06931608,1.0,0.0,0.0,0.0,0.0,0.5370532,0.12815788,0.18305054,-0.011192678,-0.9830398
A,0.94790167,0.1185844,0.09977496,0.057676796,0.061280243,1.0,0.0,0.0,0.0,0.0,0.55679995,0.13617471,0.17436782,-0.0067626294,-0.9846574
A,0.95164305,0.12665747,0.10312746,0.06260237,0.052513488,1.0,0.0,0.0,0.0,0.0,0.58373016,0.13652857,0.1634433,-0.021677379,-0.98631454
A,0.9589879,0.12687035,0.10511359,0.0655184,0.052792095,1.0,0.0,0.0,0.0,0.0,0.5791612,0.1388193,0.14604679,-0.04193786,-0.98838836
A,0.9626963,0.124955244,0.10090828,0.06612349,0.050594132,1.0,0.0,0.0,0.0,0.0,0.58021754,0.14369684,0.12364455,-0.03686971,-0.99164134
A,0.9697194,0.13360891,0.101871684,0.06621588,0.046933662,1.0,0.0,0.0,0.0,0.0,0.60602957,0.15221772,0.112505324,-0.029184781,-0.9932225
A,0.96832865,0.13507874,0.10347197,0.069135554,0.044689465,1.0,0.0,0.0,0.0,0.0,0.61221325,0.15007928,0.11861415,-0.06814303,-0.99059945
A,0.97427005,0.12908909,0.101431064,0.06444921,0.04100008,1.0,0.0,0.0,0.0,0.0,0.63681793,0.14815557,0.12515345,-0.06740526,-0.989845
A,0.97314423,0.12873884,0.10654795,0.068534195,0.043954715,1.0,0.0,0.0,0.0,0.0,0.63382035,0.14887352,0.11651821,-0.063651934,-0.99114674
A,0.9749506,0.12680398,0.10630066,0.07090128,0.04493205,1.0,0.0,0.0,0.0,0.0,0.6370597,0.14872111,0.10607681,-0.045841716,-0.9933007
A,0.97629946,0.123590715,0.10437319,0.07115189,0.04556681,1.0,0.0,0.0,0.0,0.0,0.6400438,0.14726608,0.0853454,-0.03985839,-0.9955538
A,0.97680163,0.12208554,0.10087858,0.07076511,0.048065107,1.0,0.0,0.0,0.0,0.0,0.63962996,0.14805849,0.08045938,-0.027536461,-0.99637747
A,0.97923154,0.11960552,0.09730397,0.06547828,0.043514628,1.0,0.0,0.0,0.0,0.0,0.6420217,0.14903699,0.06902105,-0.029138293,-0.9971896
A,0.9781282,0.12561277,0.10243813,0.070883155,0.046448827,1.0,0.0,0.0,0.0,0.0,0.6495057,0.14531504,0.071059614,-0.03658366,-0.99680096
A,0.9784848,0.12251816,0.1001016,0.069997765,0.04649043,1.0,0.0,0.0,0.0,0.0,0.65555406,0.14132406,0.06050682,-0.029691996,-0.9977261
A,0.9796724,0.1233513,0.101116955,0.07234888,0.046463832,1.0,0.0,0.0,0.0,0.0,0.64830923,0.14281413,0.060661603,-0.033398584,-0.9975994
A,0.97941357,0.11894761,0.098202474,0.07173386,0.045786116,1.0,0.0,0.0,0.0,0.0,0.6486397,0.14022535,0.05139553,-0.02174641,-0.9984416
A,0.9798471,0.11784081,0.09631399,0.0702232,0.049898457,1.0,0.0,0.0,0.0,0.0,0.65730834,0.13818271,0.0688991,-0.0094784135,-0.9975786
A,0.9793585,0.121134266,0.09763522,0.07257578,0.0505536,1.0,0.0,0.0,0.0,0.0,0.6550184,0.14217065,0.06499442,-0.00334998,-0.99788
A,0.9812958,0.1225613,0.09861434,0.071434036,0.04896609,1.0,0.0,0.0,0.0,0.0,0.6672192,0.1423821,0.08796165,0.0028009217,-0.99612
A,0.9817002,0.12313372,0.09743898,0.073917426,0.051111147,1.0,0.0,0.0,0.0,0.0,0.6670143,0.14330737,0.082444444,0.0052594566,-0.9965818
A,0.9803453,0.12789667,0.10383457,0.08038679,0.053905327,1.0,0.0,0.0,0.0,0.0,0.67341167,0.13862969,0.07246842,-0.010342077,-0.9973171
A,0.981325,0.1268012,0.104248166,0.078249045,0.052348603,1.0,0.0,0.0,0.0,0.0,0.6638536,0.14087796,0.077796414,-0.0049582776,-0.99695694
A,0.98010755,0.1254091,0.10290971,0.07764348,0.050993655,1.0,0.0,0.0,0.0,0.0,0.6651689,0.14459383,0.063871205,-0.0010039284,-0.99795765
A,0.9786642,0.12066921,0.10039021,0.07709932,0.054826915,1.0,0.0,0.0,0.0,0.0,0.6654023,0.14069387,0.048009824,0.005408068,-0.9988322
A,0.97898906,0.12016389,0.10095465,0.075029105,0.05356939,1.0,0.0,0.0,0.0,0.0,0.6671213,0.13858125,0.0471426,0.00403978,-0.99888
A,0.97890896,0.12203899,0.10326855,0.07874444,0.05397609,1.0,0.0,0.0,0.0,0.0,0.6662391,0.13685161,0.052413326,0.0029498404,-0.9986211
A,0.9783544,0.11704881,0.09727554,0.07417019,0.05378519,1.0,0.0,0.0,0.0,0.0,0.68086255,0.13956179,0.045405045,0.011451389,-0.998903
A,0.97853297,0.11668543,0.094202965,0.07118227,0.049965374,1.0,0.0,0.0,0.0,0.0,0.68317705,0.13935748,0.048665937,0.015784001,-0.9986904
A,0.9788024,0.11720609,0.09530324,0.07348104,0.054705124,1.0,0.0,0.0,0.0,0.0,0.67963016,0.13634153,0.052090608,0.011636684,-0.99857455
A,0.97851884,0.11172777,0.09152887,0.06903732,0.049866367,1.0,0.0,0.0,0.0,0.0,0.6875306,0.14201766,0.04898678,0.025194682,-0.9984817
A,0.9789678,0.1117537,0.093670726,0.072241366,0.046998832,1.0,0.0,0.0,0.0,0.0,0.6863466,0.14154665,0.049544424,0.018363973,-0.9986031
A,0.9782413,0.11125331,0.093492575,0.071040966,0.047036737,1.0,0.0,0.0,0.0,0.0,0.68506265,0.14535847,0.046770904,0.01887819,-0.99872726
A,0.97837585,0.111427486,0.093289405,0.071870014,0.045176152,1.0,0.0,0.0,0.0,0.0,0.68059874,0.14221217,0.047089048,0.016837128,-0.9987488
A,0.9780667,0.116450064,0.097502485,0.075819165,0.046617758,1.0,0.0,0.0,0.0,0.0,0.68319726,0.14066349,0.035239488,0.011102973,-0.9993172
A,0.9777474,0.1144762,0.09796532,0.0754222,0.04411239,1.0,0.0,0.0,0.0,0.0,0.68917054,0.14061926,0.036771957,0.012273159,-0.99924827
A,0.97814953,0.11537356,0.09812603,0.07642621,0.046846278,1.0,0.0,0.0,0.0,0.0,0.660311,0.14007188,0.04072928,0.014384608,-0.99906665
A,0.97812384,0.11298869,0.09576689,0.07460286,0.046461612,1.0,0.0,0.0,0.0,0.0,0.6610441,0.14126724,0.039870404,0.014299743,-0.9991026
A,0.9774624,0.11289569,0.09404769,0.07222087,0.044936232,1.0,0.0,0.0,0.0,0.0,0.6613477,0.14116555,0.046875253,0.012294154,-0.9988251
A,0.97627884,0.116206974,0.095407836,0.073268786,0.044105798,1.0,0.0,0.0,0.0,0.0,0.65976447,0.13908224,0.045265697,0.01086308,-0.9989159
A,0.9744822,0.11438986,0.09396928,0.07276724,0.04412269,1.0,0.0,0.0,0.0,0.0,0.65174484,0.13700499,0.038521193,0.0072493707,-0.9992315
A,0.96979403,0.11510191,0.09399985,0.07178505,0.042421475,1.0,0.0,0.0,0.0,0.0,0.6525136,0.13725092,0.04389805,0.008036223,-0.9990037
